phase	call_site	target	analysis_name	validated_grade	validated_source
6	00403050	0099eae0	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>
6	0040305c	0099eae0	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>
6	00403068	0099b510	~CCharString
7	00403082	0099ebf0	CCharString
7	0040308d	009d8240	$E2
7	00403096	0099eae0	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>
7	0040318b	0041a1e0	GetAutoSaveFileName
7	00403198	0099b7d0	operator=
7	004031a1	0099b510	~CCharString
7	004031e5	004023f0	GetWindowTitle
7	004031f2	0099b7d0	operator=
7	004031fb	0099b510	~CCharString
7	00403211	0041a180	GetAutoSaveFileName
7	0040321e	0099b7d0	operator=
7	00403227	0099b510	~CCharString
7	00403230	00415440	GetFontBankName
7	0040323d	0099efb0	operator=
7	00403246	0099eae0	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>
8	0040329c	00401fe0	DoEULAThings
8	004032a7	00401284	exit
8	004032c0	004017b0	GFConfigDetection
8	004032cb	00401284	exit
8	004032d0	00401b20	GFFreeConfigDetection
9	00403302	009a0ef0	SetLeftAlignText
9	00403325	009a4ec0	AddChildPrimitive
9	0040332c	009a6610	Initialise
9	00403335	009d8250	NProfileTimer::EndProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_EndProfile_009d8250.cpp
9	0040333a	009a4ec0	AddChildPrimitive
9	00403346	00404a80	AddChildPrimitive
9	0040334d	00405650	Initialise
9	0040335d	0099ebf0	CCharString
9	00403368	009d8240	$E2
9	00403371	0099eae0	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>
9	0040337f	00418c3b	GFMain_ProcessSaveFileMetadata
10	00403389	004022b0	GFInitialise
10	0040339b	0099b150	CWideString::NotEqual
10	004033aa	0040d2a0	Get
10	004033b1	0040d400	AddLineToDrawBuffer
10	004033b8	009d8250	NProfileTimer::EndProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_EndProfile_009d8250.cpp
10	004033c2	00412f90	Play
10	004033c7	00401b80	~CAIStateGroup_JackDragon
10	004033cf	00401c00	GFHandleSystemInitError
10	004033d6	009d8250	NProfileTimer::EndProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_EndProfile_009d8250.cpp
10	004033e5	0099cf10	CSystemRegistry
10	004033f4	0099d100	WriteBOOL
10	004033fd	0099cf70	~CSystemRegistry
10	00403406	0099b510	~CCharString
10	0040340f	0099b510	~CCharString
10	00403418	0099b510	~CCharString
10	00403424	0099b510	~CCharString
10	00403430	0099b510	~CCharString
10	0040343c	0099b510	~CCharString
10	00403448	0099eae0	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>
10	00403454	0099eae0	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>
10	00403460	0099b510	~CCharString
