address	class	file	action	baseline	new_status	behaviour	reason
0089ad90	CGameScriptInterface	CGameScriptInterface_IsQuestStartScreenActive_0089ad90.cpp	skip				NOT_GENUINE
0089aff0	CGameScriptInterface	CGameScriptInterface_EntitySetCombatAbility_0089aff0.cpp	skip				NOT_GENUINE
0089b0b0	CGameScriptInterface	CGameScriptInterface_EntityResetAsPureAINarrator_0089b0b0.cpp	skip				NOT_GENUINE
0089b330	CGameScriptInterface	CGameScriptInterface_IsHeroNaked_0089b330.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089b390	CGameScriptInterface	CGameScriptInterface_RemoveHeroClothing_0089b390.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089b4d0	CGameScriptInterface	CGameScriptInterface_RemoveHeroHairstyle_0089b4d0.cpp	skip				NOT_GENUINE
0089c4c0	CGameScriptInterface	CGameScriptInterface_EntityClearPersonalityOverride_0089c4c0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089c8a0	CGameScriptInterface	CGameScriptInterface_IsDeedWitnessed_0089c8a0.cpp	skip				NO_THIS_STRUCT
0089cd10	CGameScriptInterface	CGameScriptInterface_CanThingBeSeenByOtherThing_0089cd10.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089cd30	CGameScriptInterface	CGameScriptInterface_CanThingBeNearlySeenByOtherThing_0089cd30.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089cd50	CGameScriptInterface	CGameScriptInterface_CanThingBe_Smelled_ByOtherThing_0089cd50.cpp	skip				NO_STRUCT
0089d7c0	CGameScriptInterface	CGameScriptInterface_SetAbilityAvailability_0089d7c0.cpp	skip				NOT_GENUINE
0089d8b0	CGameScriptInterface	CGameScriptInterface_EntityForceToLookAtCamera_0089d8b0.cpp	skip				NOT_GENUINE
0089df70	CGameScriptInterface	CGameScriptInterface_EntityGetShotStrikePos_0089df70.cpp	skip				NOT_GENUINE
0089dff0	CGameScriptInterface	CGameScriptInterface_EntitySetAlwaysBlockAttacksFromThing_0089dff0.cpp	skip				NO_THIS_STRUCT
0089e4c0	CGameScriptInterface	CGameScriptInterface_AddScreenTitleMessage_0089e4c0.cpp	skip				NO_THIS_STRUCT
0089ec60	CGameScriptInterface	CGameScriptInterface_CreatureGeneratorAddTriggerer_0089ec60.cpp	skip				NO_THIS_STRUCT
0089ecc0	CGameScriptInterface	CGameScriptInterface_CreatureGeneratorRemoveTriggerer_0089ecc0.cpp	skip				NO_THIS_STRUCT
008a0e80	CGameScriptInterface	CGameScriptInterface_IsThingABed_008a0e80.cpp	skip				VTABLE_TYPED(vt)
008a0eb0	CGameScriptInterface	CGameScriptInterface_IsThingAChest_008a0eb0.cpp	skip				SUSPECT_FILE
008a0ee0	CGameScriptInterface	CGameScriptInterface_IsThingADoor_008a0ee0.cpp	skip				VTABLE_TYPED(vt)
008a0f10	CGameScriptInterface	CGameScriptInterface_IsThingSmashable_008a0f10.cpp	skip				VTABLE_TYPED(vt)
008a0f40	CGameScriptInterface	CGameScriptInterface_IsThingSearchable_008a0f40.cpp	skip				VTABLE_TYPED(vt)
008a0fd0	CGameScriptInterface	CGameScriptInterface_SetReadableObjectTextTag_008a0fd0.cpp	skip				NOT_GENUINE
008a12a0	CGameScriptInterface	CGameScriptInterface_GetNumHousesOwned_008a12a0.cpp	skip				SUSPECT_FILE
008a1300	CGameScriptInterface	CGameScriptInterface_StartSneaking_008a1300.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
008a1590	CGameScriptInterface	CGameScriptInterface_GetBestTimePairs_008a1590.cpp	skip				NOT_GENUINE
008a15f0	CGameScriptInterface	CGameScriptInterface_GetBestTimeSorting_008a15f0.cpp	skip				NOT_GENUINE
008a17d0	CGameScriptInterface	CGameScriptInterface_GetBestTimeGuessTheAddition_008a17d0.cpp	skip				NOT_GENUINE
008a1c50	CGameScriptInterface	CGameScriptInterface_RepopulateVillage_008a1c50.cpp	skip				NOT_GENUINE
008a78e0	CGameScriptInterface	CGameScriptInterface_ClearActiveGossipCategories_008a78e0.cpp	skip				NO_THIS_STRUCT
008a7930	CGameScriptInterface	CGameScriptInterface_ClearIsGossipForPlayer_008a7930.cpp	skip				NO_THIS_STRUCT
008a7ec0	CGameScriptInterface	CGameScriptInterface_EntitySetThingAsAllyOfThing_008a7ec0.cpp	skip				NO_STRUCT
008a86c0	CGameScriptInterface	CGameScriptInterface_GetAllCreaturesInAreaWithScriptName_008a86c0.cpp	skip				NOT_GENUINE
008a89d0	CGameScriptInterface	CGameScriptInterface_GetAllCreaturesExcludingHero_008a89d0.cpp	skip				NOT_GENUINE
008a8e40	CGameScriptInterface	CGameScriptInterface_EntityDecapitate_008a8e40.cpp	skip				NOT_GENUINE
008a8eb0	CGameScriptInterface	CGameScriptInterface_EntitySetAttackThingImmediately_008a8eb0.cpp	skip				NOT_GENUINE
008a9320	CGameScriptInterface	CGameScriptInterface_EntityCastForcePush_008a9320.cpp	skip				NO_THIS_STRUCT
008a9610	CGameScriptInterface	CGameScriptInterface_SetThingAsConscious_008a9610.cpp	skip				NOT_GENUINE
008a96c0	CGameScriptInterface	CGameScriptInterface_SetCategoryActivity_008a96c0.cpp	skip				NO_THIS_STRUCT
008a9720	CGameScriptInterface	CGameScriptInterface_SetActiveGossipCategories_008a9720.cpp	skip				NO_THIS_STRUCT
008a9c40	CGameScriptInterface	CGameScriptInterface_GetAllThingsWithDefNameByDistanceFrom_008a9c40.cpp	skip				NOT_GENUINE
008a9db0	CGameScriptInterface	CGameScriptInterface_AddRumourCategory_008a9db0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
008a9dd0	CGameScriptInterface	global_AddNewRumourToCategory_008a9dd0.cpp	skip				NO_STRUCT
008a9e00	CGameScriptInterface	CGameScriptInterface_RemoveRumourCategory_008a9e00.cpp	skip				NO_THIS_STRUCT
008a9e30	CGameScriptInterface	global_AddGossipVillage_008a9e30.cpp	skip				NO_THIS_STRUCT
008a9fc0	CGameScriptInterface	CGameScriptInterface_GetGossipSize_008a9fc0.cpp	skip				NO_THIS_STRUCT
008aa050	CGameScriptInterface	CGameScriptInterface_RemoveGossip_008aa050.cpp	skip				NO_THIS_STRUCT
008aa220	CGameScriptInterface	CGameScriptInterface_GetGossipVillagesSize_008aa220.cpp	skip				NO_THIS_STRUCT
008aa270	CGameScriptInterface	CGameScriptInterface_ClearGossipVillages_008aa270.cpp	skip				NO_THIS_STRUCT
008aa2b0	CGameScriptInterface	CGameScriptInterface_RemoveGossipVillages_008aa2b0.cpp	skip				NO_THIS_STRUCT
008aa480	CGameScriptInterface	CGameScriptInterface_GetGossipFactionsSize_008aa480.cpp	skip				NO_THIS_STRUCT
008aa4d0	CGameScriptInterface	CGameScriptInterface_ClearGossipFactions_008aa4d0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
008aa510	CGameScriptInterface	CGameScriptInterface_RemoveGossipFactions_008aa510.cpp	skip				NO_THIS_STRUCT
006e7290	CGameScriptInterface	CGameScriptInterface_EndLetterBox_006e7290.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED
006e7300	CGameScriptInterface	CGameScriptInterface_IsCameraPosOnScreen_006e7300.cpp	applied	MATCH	MATCH	PASS	APPLIED
006e7340	CGameScriptInterface	CGameScriptInterface_GetGameAngleXY_006e7340.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED
006e7410	CGameScriptInterface	CGameScriptInterface_NewScriptFrame_006e7410.cpp	skip				NO_THIS_STRUCT
006e7460	CGameScriptInterface	CGameScriptInterface_PostAddScriptedEntities_006e7460.cpp	skip				NOT_GENUINE
006e76e0	CGameScriptInterface	CGameScriptInterface_SetTimer_006e76e0.cpp	skip				NO_EXACT_MAP(+0x3c tree)
006e7710	CGameScriptInterface	CGameScriptInterface_GetTimer_006e7710.cpp	skip				NO_EXACT_MAP(+0x3c map)
006e79e0	CGameScriptInterface	CGameScriptInterface_RegisterTimer_006e79e0.cpp	skip				NO_THIS_STRUCT
006e7d20	CGameScriptInterface	CGameScriptInterface_TraceMessage_006e7d20.cpp	skip				NO_STRUCT
006e7d30	CGameScriptInterface	CGameScriptInterface_SetCreatureCreationDelayFrames_006e7d30.cpp	applied	MATCH	MATCH	PASS	APPLIED(test kept)
006e7d40	CGameScriptInterface	CGameScriptInterface_ResetCreatureCreationDelayFrames_006e7d40.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088de00	CGameScriptInterface	CGameScriptInterface_Error_0088de00.cpp	skip				NO_STRUCT
0088de10	CGameScriptInterface	CGameScriptInterface_GiveThingItemInHand_0088de10.cpp	skip				NO_STRUCT
0088df80	CGameScriptInterface	CGameScriptInterface_HeroGoDigging_0088df80.cpp	skip	RELOCATION_MATCH	SRC_FAIL		PARITY_CHANGED(RELOCATION_MATCH->SRC_FAIL)
0088e070	CGameScriptInterface	CGameScriptInterface_GetWorldFrameCGameScriptInterfaceUBEJXZ_0088e070.cpp	skip				NO_STRUCT
0088e080	CGameScriptInterface	CGameScriptInterface_GetConstantFPS_0088e080.cpp	skip				NO_STRUCT
0088e090	CGameScriptInterface	CGameScriptInterface_SetAllSoundsAsMuted_0088e090.cpp	skip				NO_THIS_STRUCT
0088e0b0	CGameScriptInterface	CGameScriptInterface_SetSoundThemesAsEnabledForRegion_0088e0b0.cpp	skip				NO_THIS_STRUCT
0088e100	CGameScriptInterface	CGameScriptInterface_IsXbox_0088e100.cpp	skip				NO_STRUCT
0088e110	CGameScriptInterface	CGameScriptInterface_GiveHeroTitle_0088e110.cpp	skip				NOT_GENUINE
0088e130	CGameScriptInterface	CGameScriptInterface_GiveHeroWeapon_0088e130.cpp	skip				NO_THIS_STRUCT
0088e210	CGameScriptInterface	CGameScriptInterface_DisplayTime_0088e210.cpp	skip				NO_STRUCT
0088e300	CGameScriptInterface	CGameScriptInterface_IsRegionLoaded_0088e300.cpp	skip				VIRTUAL_THIS
0088e340	CGameScriptInterface	CGameScriptInterface_GetRegionName_0088e340.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED(test kept)
0088e400	CGameScriptInterface	CGameScriptInterface_MiniMapSetAsEnabled_0088e400.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED(test kept)
0088e4c0	CGameScriptInterface	CGameScriptInterface_FadeScreenIn_0088e4c0.cpp	applied	RELOCATION_MATCH	RELOCATION_MATCH	PASS	APPLIED
0088e4d0	CGameScriptInterface	CGameScriptInterface_IsScreenFadingOut_0088e4d0.cpp	applied	MATCH	MATCH	PASS	APPLIED
0088e4f0	CGameScriptInterface	CGameScriptInterface_PauseCGameScriptInterfaceUBEXMZ_0088e4f0.cpp	skip				NO_STRUCT
