rank	address	api_names	qualified_name	module	match_status	owner_relevance	prototype_complete	calling_convention	return_type	parameter_types	score	verification_stage	engine_implementation_verified	hook_approved	bridge_kind	arity_compatible	evidence
306	0x00891A00	Quest.SetQuestInfoText	CGameScriptInterface::SetQuestInfoText	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,char const *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
307	0x008A0F70	Quest.SetReadableObjectText	CGameScriptInterface::SetReadableObjectText	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,CWideString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
308	0x008A0FD0	Quest.SetReadableObjectTextTag	CGameScriptInterface::SetReadableObjectTextTag	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
309	0x0088E0B0	Quest.SetSoundThemesAsEnabledForRegion	CGameScriptInterface::SetSoundThemesAsEnabledForRegion	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
310	0x008A99F0	Quest.SetThingAndCarriedItemsNotAffectedByScreenFilter	CGameScriptInterface::SetThingAndCarriedItemsNotAffectedByScreenFilter	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing &,void *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
311	0x008A9610	Quest.SetThingAsConscious	CGameScriptInterface::SetThingAsConscious	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,bool,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
312	0x0089A270	Quest.SetThingAsKilled	CGameScriptInterface::SetThingAsKilled	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
313	0x006E76E0	Quest.SetTimer	CGameScriptInterface::SetTimer	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
314	0x00895130	Quest.SetTrapAsActive	CGameScriptInterface::SetTrapAsActive	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
315	0x008A23B0	Quest.SetWanderCentrePoint	CGameScriptInterface::SetWanderCentrePoint	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing,C3DVector	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
