rank	track	module	score	catalog_functions	prototype_complete	prototype_gaps	calling_convention_unknown	naming_review	agent_candidates	verified_lifts
105	candidate-cluster	CThingTrackNode	411994	63	57	6	6	0	6	0
106	candidate-cluster	NCameraModes::COrbitGame	411994	6	0	6	6	0	6	0
107	candidate-cluster	NCameraModes::CPhysicsForceModelRigid	411994	6	0	6	6	0	6	0
108	candidate-cluster	NCameraModes::CScriptedControl	411994	6	0	6	6	0	6	0
109	candidate-cluster	NCameraModes::CSnapToPoint	411994	6	0	6	6	0	6	0
110	candidate-cluster	NCameraModes::CStringAndCage	411994	6	0	6	6	0	6	0
111	candidate-cluster	NCreatureMode::CModeCrouch	411994	6	0	6	6	0	6	0
112	candidate-cluster	NGraphicAppearance::CTCGraphicAppearance	411994	6	0	6	6	0	6	0
113	candidate-cluster	NGraphicAppearance::CTCGraphicAppearanceAnimatedMesh	411994	6	0	6	6	0	6	0
114	candidate-cluster	NParticleEngine::CPSCEmitterGeneric	411994	6	0	6	6	0	6	0
115	candidate-cluster	NUISystem::CMouseCursor	411994	6	0	6	6	0	6	0
116	candidate-cluster	NUISystem::CScrollBarOutside	411994	6	0	6	6	0	6	0
117	candidate-cluster	NUISystem::CSpellContainerList	411994	6	0	6	6	0	6	0
118	candidate-cluster	NUISystem::CTextSlider	411994	6	0	6	6	0	6	0
119	candidate-cluster	CTCSpecialAbilities	411993	35	28	7	7	0	6	0
120	candidate-cluster	CTCDoor	411992	20	12	8	7	0	6	0
121	candidate-cluster	CTCExplodingObject	411992	12	4	8	7	0	6	0
122	candidate-cluster	CTCInventoryItem	411992	109	101	8	7	0	6	0
123	candidate-cluster	CTCLight	411992	20	12	8	7	0	6	0
124	candidate-cluster	CTCLightningNode	411992	10	2	8	7	0	6	0
125	candidate-cluster	CTCTavernGameSpotTheAddition	411992	20	12	8	7	0	6	0
126	candidate-cluster	CTCWallMountEffects	411991	13	4	9	7	0	6	0
127	candidate-cluster	CTCDPhysicalObstruction	411988	14	2	12	7	0	6	0
128	candidate-cluster	CNetworkClient	410000	6	6	0	0	0	5	0
129	candidate-cluster	CMap	409996	90	86	4	2	0	5	0
130	candidate-cluster	?A0x29922355::CCreatureAction_KrakenHighAttackLoop	409995	5	0	5	5	0	5	0
131	candidate-cluster	?A0x29922355::CCreatureAction_KrakenLowAttackInto	409995	5	0	5	5	0	5	0
132	candidate-cluster	?A0x29922355::CCreatureAction_KrakenLowAttackLoop	409995	5	0	5	5	0	5	0
133	candidate-cluster	?A0x29922355::CCreatureAction_KrakenRiseUp	409995	5	0	5	5	0	5	0
134	candidate-cluster	?A0xe09fd86b::CCreatureAction_SummonerChargeSuccess	409995	5	0	5	5	0	5	0
135	candidate-cluster	CInputTypeMouseButtonEvent	409995	8	3	5	5	0	5	0
136	candidate-cluster	CTBaseSingleton	409995	5	0	5	5	0	5	0
137	candidate-cluster	CTCCarriedActionUseRead	409995	5	0	5	5	0	5	0
138	candidate-cluster	CTCCreatureGenerator	409995	21	16	5	5	0	5	0
139	candidate-cluster	CTCCreatureHive	409995	7	2	5	5	0	5	0
140	candidate-cluster	CTCCreatureOpinionOfHero	409995	35	30	5	5	0	5	0
141	candidate-cluster	CTCCreatureTintEffect	409995	8	3	5	5	0	5	0
142	candidate-cluster	CTCCupboard	409995	7	2	5	5	0	5	0
143	candidate-cluster	CTCDegradableBarrier	409995	5	0	5	5	0	5	0
144	candidate-cluster	CTCGatherPointBase	409995	6	1	5	5	0	5	0
145	candidate-cluster	CTCHeroRememberCrimes	409995	6	1	5	5	0	5	0
146	candidate-cluster	CTCHighlightItem	409995	9	4	5	5	0	5	0
147	candidate-cluster	CTCOnHeroPush	409995	8	3	5	5	0	5	0
148	candidate-cluster	CTCOverheadDisplay	409995	5	0	5	5	0	5	0
149	candidate-cluster	CTCSearchableContainer	409995	6	1	5	5	0	5	0
150	candidate-cluster	CTCSoundAtmosphereVillage	409995	6	1	5	5	0	5	0
151	candidate-cluster	CTCThingOwner	409995	9	4	5	5	0	5	0
152	candidate-cluster	CTCTrophy	409995	22	17	5	5	0	5	0
153	candidate-cluster	CThingHolySite	409995	26	21	5	5	0	5	0
154	candidate-cluster	CThingMarker	409995	7	2	5	5	0	5	0
155	candidate-cluster	CThingPhysicalSwitch	409995	11	6	5	5	0	5	0
156	candidate-cluster	NCameraModes::CPCMouseLook	409995	5	0	5	5	0	5	0
