address	name	module	checker_verdict	origin	snapshot	declaration_header	sha256	bytes	integrity	integrity_detail	host_cpp20_syntax	compiler_errors	first_blocker	missing_dependencies	vc71_incompatibilities	vc71_features	compile_ready
0081ee60	SetEngineThemeAt	CMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0081EE60_CMap_SetEngineThemeAt.cpp		135fa63d58ce2cdc94a245fadd48ea859258797bb9d8d74f7919dc593f5be79a	2736	PASS		FAIL	6	'CMap' has not been declared	AddThemeDefIndexToPalette;CMap;EThemePaintType	14	auto:1;static_assert:8;std-fixed-width:5	0
0081efc0	SetEngineBlendAt	CMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0081EFC0_CMap_SetEngineBlendAt.cpp		f1ed34a7c49e64fddb6ed78c63841ff1d814f16c1238b3f21c8e22d4f686867d	2148	PASS		FAIL	5	'CMap' has not been declared	CMap;EThemePaintType	15	auto:3;static_assert:8;std-fixed-width:4	0
0081f090	GetEngineThemeAt	CMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0081F090_CMap_GetEngineThemeAt.cpp		beb613144420a5bc321c8ad54b94d3e2e9e27a8f4133c1891ed82e4f73caaf34	3197	PASS		FAIL	6	'CMap' has not been declared	CMap;EThemePaintType	20	auto:1;static_assert:13;std-fixed-width:6	0
0081f170	GetEngineBlendAt	CMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0081F170_CMap_GetEngineBlendAt.cpp		b92c61309287ab15ad291dcb1d02366b52e7702f3131fe2cd22fa5b3a632f6cf	2255	PASS		FAIL	8	'CMap' has not been declared	CGameMapCell;CMap;EThemePaintType	15	auto:3;static_assert:8;std-fixed-width:4	0
0082e330	GetTheme	CScriptedMapBrush	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0082E330_CScriptedMapBrush_GetTheme.cpp		a9aff137fd3382b49eca3bd8bfa3b0975d9ae8c1b7190a2adc60789163ce95c5	950	PASS		FAIL	3	'CScriptedMapBrush' has not been declared	CScriptedMapBrush	6	auto:1;static_assert:5	0
0082e3d0	GetThemeBlend	CScriptedMapBrush	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0082E3D0_CScriptedMapBrush_GetThemeBlend.cpp		4126335a555a41e364c5d2718c29a071abe4b5ca2c11d43fae4a461735978d1b	959	PASS		FAIL	3	'CScriptedMapBrush' has not been declared	CScriptedMapBrush	6	auto:1;static_assert:5	0
0082e420	SetThemeBlend	CScriptedMapBrush	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0082E420_CScriptedMapBrush_SetThemeBlend.cpp		80f08182173dc104394cf00d13ecec907a4d5d3dd8d41aa8bdb4f91870672d5b	931	PASS		FAIL	2	'CScriptedMapBrush' has not been declared	CScriptedMapBrush	6	auto:1;static_assert:5	0
008368f0	ConditionalVirtualDispatch_OnLevelUnload	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x008368F0_global_ConditionalVirtualDispatch_OnLevelUnload.cpp		c4b673053e7f26909cb7d47e7203ac3bcae13731cc0467ef3ae0866de4edcdd4	1421	PASS		PASS	0			12	auto:2;static_assert:3;std-fixed-width:6;using-alias:1	0
0086c5c0	CPersistInfo_InsertionSortStep_0086c5c0	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0086C5C0_global_CPersistInfo_InsertionSortStep_0086c5c0.cpp		6f66ef3ff1419a9bba6f2c366835cf5925b6a57fab9842ea6c14e2a792b30263	1754	PASS		PASS	0			12	static_assert:4;std-fixed-width:8	0
0086fa00	CPersistInfo_InsertionSortStep_0086fa00	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0086FA00_global_CPersistInfo_InsertionSortStep_0086fa00.cpp		bd87332c12bb65579cc7c9b7890cff354fdf9088d07074f688a3d117439c665b	1753	PASS		PASS	0			12	static_assert:4;std-fixed-width:8	0
