address	verdict	file	flag
0040f5b0	RELOC	global_Fillnltunsignedlongunsignedintunsign_0040f5b0.cpp	Oy
0040fbd0	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0040fbd0.cpp	Oy
0040fd80	NO_ORACLE	global_sub0040fd80_0040fd80.cpp	
004107c0	RELOC	CEngineSceneGrid_GetCellBoundingBox_004107c0.cpp	Oy
00410800	RELOC	CPersistContext_Transferlong_00410800.cpp	Oy
00411570	EXACT	global_global_00411570.cpp	Oy
00411600	NO_ORACLE	global_sub00411600_00411600.cpp	
00411980	EXACT	CComponent_SetParentColour_00411980.cpp	Oy
00412020	RELOC	CTCInventoryItem_OnDie_00412020.cpp	Oy
00412050	EXACT	CMemoryFile_GetPosition_00412050.cpp	Oy
00412060	EXACT	CMemoryFile_GetLength_00412060.cpp	Oy
00412070	RELOC	CMemoryFile_GetPathnameCMemoryFileUBEAVCWideStri_00412070.cpp	Oy
004120c0	RELOC	CThingTrackNode_vectordeletingdestructor_004120c0.cpp	Oy
00412130	RELOC	CCombatWheel_ResetRings_00412130.cpp	Oy
00412880	RELOC	vectorEWeaponClass_UmoveEWeaponClass_00412880.cpp	Oy
004129f0	EXACT	vectorCBrainBehaviour_resize_004129f0.cpp	Oy
00412a50	EXACT	vectorunsignedint_resize_00412a50.cpp	Oy
00412aa0	EXACT	vectorEWeaponClass_UmoveEWeaponClass_00412aa0.cpp	Oy
00412b00	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_00412b00.cpp	Oy
00412b20	EXACT	vectorstdpairCCharString_resize_00412b20.cpp	Oy
00412c10	EXACT	vectorEWeaponClass_UmoveEWeaponClass_00412c10.cpp	Oy
00412c50	EXACT	vectorEWeaponClass_UmoveEWeaponClass_00412c50.cpp	Oy
00412f60	RELOC	CInitBaseClass_Uninitialise_00412f60.cpp	Oy
00412f90	RELOC	CGame_Play_00412f90.cpp	Oy
00413120	RELOC	Global_GFInitialiseSetupProgressDisplay_00413120.cpp	Oy
004131a0	RELOC	CMainGameComponentInit_CMainGameComponentInit_004131a0.cpp	Oy
004131d0	EXACT	Destvalstd_allocatorCMacroCMacro_004131d0.cpp	Oy
00413230	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_00413230.cpp	Oy
00413310	EXACT	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_00413310.cpp	Oy
00413350	EXACT	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_00413350.cpp	Oy
004133a0	RELOC	CLandscapeBackgroundPatch_vectordeletingdestructor_004133a0.cpp	Oy
00413480	RELOC	CLandscapeBackgroundPatch_vectordeletingdestructor_00413480.cpp	Oy
00413c50	RELOC	Global_InitialiseConsoleVariables_00413c50.cpp	Oy
00414c90	EXACT	global_Get_00414c90.cpp	Oy
00414d40	NO_ORACLE	global_sub00414d40_00414d40.cpp	
00414db0	NO_ORACLE	global_sub00414db0_00414db0.cpp	
00414de0	EXACT	CIndexBuffer_CIndexBuffer_00414de0.cpp	Oy
00414e00	EXACT	Destroyrangestd_allocatorCSpeechFrame_00414e00.cpp	Oy
00414ea0	RELOC	CCombatWheel_ResetRings_00414ea0.cpp	Oy
00414ef0	RELOC	CCombatWheel_ResetRings_00414ef0.cpp	Oy
00414f70	EXACT	CConsoleCommandBase_GetTypeAsStringCConsoleCommandBaseMB_00414f70.cpp	Oy
00414f90	EXACT	CCompressedMemoryDataInputStream_CCompressedMemoryDataInputStream_00414f90.cpp	Oy
00415050	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_00415050.cpp	Oy
00415260	DIFFER(34v178)	Global_GetFontBankName_00415260.cpp	Oy
00415440	DIFFER(34v178)	Global_GetStreamingFontBankName_00415440.cpp	Oy
00415530	RELOC	Global_GetDefaultLanguageName_00415530.cpp	Oy
00415755	NO_ORACLE	global_sub00415755_00415755.cpp	
00415830	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_00415830.cpp	Oy
00415920	EXACT	CGameComponent_Init_00415920.cpp	Oy
00415930	EXACT	CGameComponent_SetQuit_00415930.cpp	Oy
00415940	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_00415940.cpp	Oy
004159a0	EXACT	global_InitFlagsField426_004159a0.cpp	Oy
004159b0	EXACT	CGameEvent_CGameEvent_004159b0.cpp	Oy
00415bd0	EXACT	CSurface_GetWidth_00415bd0.cpp	Oy
00415bf0	EXACT	CSurface_GetHeight_00415bf0.cpp	Oy
00415d70	EXACT	CDefString_operatorclassCCharString_00415d70.cpp	Oy
00415dd0	EXACT	CDefString_operatorclassCCharString_00415dd0.cpp	Oy
00415e17	RELOC	CMainGameComponentInit_CMainGameComponentInit_00415e17.cpp	Oy
00415e67	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_00415e67.cpp	Oy
00415e83	EXACT	CMainGameComponent_OnPreDeviceReset_00415e83.cpp	Oy
00415fbc	EXACT	global_GFGetPreMainMemoryUsed_00415fbc.cpp	Oy
00415fc1	EXACT	ConsvalstdallocatorstdpairEHeroMorphTypeCParticleMorphsCEntrystdpairEHeroMorphTypeCParticleMorphsCEntrystdpairenumEHeroMorphTypeclassCParticleMorphs_CEntryconst_00415fc1.cpp	Oy
00415fd3	RELOC	global_DivideByGameSpeed_00415fd3.cpp	Oy
00415fe0	EXACT	CMainGameComponent_ProcessEvent_00415fe0.cpp	Oy
00415ff2	EXACT	CMainGameComponent_EventIsSystemEvent_00415ff2.cpp	Oy
00416005	EXACT	CMainGameComponent_InitDefinitions_00416005.cpp	Oy
00416047	EXACT	CEditInputProcessCopyPaste_AddToInterface_00416047.cpp	Oy
00416056	EXACT	CMainGameComponent_InitEventPackageLoading_00416056.cpp	Oy
004160a6	EXACT	CMainGameComponent_UninitEventPackageLoading_004160a6.cpp	Oy
004160cc	EXACT	CMainGameComponent_InitEventPackageSaving_004160cc.cpp	Oy
00416122	EXACT	CMainGameComponent_UninitEventPackageLoading_00416122.cpp	Oy
