address	module	status	retail_bytes	object_text_bytes	object_symbol	first_difference	matching_prefix_bytes	relocation_count	relocation_offsets	retail_sha256	object_sha256
00404690	_global	RELOCATION_MATCH	32	32	?std_list_node_Init@@YIPAPAXPAPAXPAX1@Z	12	12	1	0xc	7e7d8abd7fa5634c838fcbe150842e579e6f8cc3afae7056b1cefd64480b65ee	f11395070ece8acd6555653eb2ced07f7f9c4e26ef2b1794bcbd1eb14df31f18
004046f0	_global	RELOCATION_MATCH	32	32	?ListNode_Create_Circular@@YIPAPAXPAPAXPAX1@Z	12	12	1	0xc	d795486c1d4e118d5a1638e866d4a05c89f73378ed57af63e17d057a152164d5	f11395070ece8acd6555653eb2ced07f7f9c4e26ef2b1794bcbd1eb14df31f18
00404280	_global	DIFFER	64	67	?WideString_EqualsLen@@YAHPBUWideStringRange@@PBG@Z	47	47	1	0x2f	ec6fed16fbba5e564b9ebd61326d6c2401a7ad0c938a61726283c7d9dc5713f0	be557780cf8c06d7b5f344be2a58715b35bc421272e20117320213c8dd8ef48a
004012ce	_global	DIFFER	61	37	___RTC_Initialize	0	0	3	0x2;0x9;0x1d	ec8769cd98a4fc477ba5f6fb07ab90a2a69a4c4c32c813bc6e01a9b267c96e6a	17dd9433b329433f505c91be098e16ddad1b97fbc647957a5d108ad21ae01c0e
0040e130	_global	RELOCATION_MATCH	43	43	?Vector_FreeElements@@YGXPAPAX0@Z	24	24	1	0x18	66802c7d76b3c935e4b661094a6b14086071683ddbc96c2f32b3e425d5bc9a25	565104cb8f9eddd8a26f4b2c274ce7d4564b0f243aa57c74af21c2d60fcc0a5b
00401356	_global	MATCH	6	6	_initterm		6	0		acd3a9c49024e46fa9aeff4282e77c30cc9fd0da43b9438408b1962aafba8fa3	acd3a9c49024e46fa9aeff4282e77c30cc9fd0da43b9438408b1962aafba8fa3
004013de	_global	MATCH	6	6	___dllonexit		6	0		edc96301abba83a26a189ca91cd9f31587a7158b37baa4414ef49410f55ccc94	edc96301abba83a26a189ca91cd9f31587a7158b37baa4414ef49410f55ccc94
004013c7	_global	MATCH	17	17	___SEH_epilog		17	0		6e914ba12848b264526c84faf2e95ada281f321bd5b8e492879c17af034c76e2	6e914ba12848b264526c84faf2e95ada281f321bd5b8e492879c17af034c76e2
00401296	_global	DIFFER	38	38	___onexit	2	2	5	0x2;0xa;0x13;0x18;0x1e	bea3f69fa63dfbe8c15bbac80d6fdfafbab8fee01e26ddb130fd1fea5fd908d5	d1b155e41c731c8b5b653bbf27d61d2291d0a2b65b61b239fd7a0ff1a0b67f39
0040135c	_global	DIFFER	18	19	___setdefaultprecision	11	11	1	0xb	742d071958237481a43a3bdcd62e0b327c2f88de4ea4cf3e21efcdf4bdb6c943	d7879acfeb8979f201dffa2b068aa32849e82b9a3c0c1ca44f077392f0391ace
0040e170	_global	DIFFER	112	125	?Array_LinearSearchInt@@YIPAHPAH00@Z	4	4	0		e9978b09af5ff83ba6151f32831661271e877c8b1b77cc9386d37d18f76b330e	145c5e66f0268f11c668e23dae9e2d389672e34b7583a2c45461fb277c8986a2
00406770	_global	MATCH	3	3	?$E2@@YGXPAX@Z		3	0		e598d0c3ba86d917b177d7adde0556aa99bc355543c57aee0a3e50b684dd7e99	e598d0c3ba86d917b177d7adde0556aa99bc355543c57aee0a3e50b684dd7e99
0081ee60	CMap	DIFFER	207	174	?SetEngineThemeAt@CMap@@QAEXJJKKW4EThemePaintType@@@Z	7	7	1	0x93	0e48b3e50a57e9223a04107dd0b7e269c3e1b56d1215657a62e902bf7865a0a4	96e60ace874e7d54d8e90578d5df5aa3bcc279d5fb4bcb739d4ee09a699af844
0081efc0	CMap	DIFFER	138	144	?SetEngineBlendAt@CMap@@QAEXJJEKW4EThemePaintType@@@Z	66	66	0		b9488853fd96ee554a7b10c0e652b8eb941212dc470ae62675d3c12b93af89c5	7b0d4a320c62bbfa546342510b24287ffd682c71767d3a39cfeceecd7d546cac
