#target_addr	target_old	donor_name	similarity	significance	applied
bb17d0	?SetVSVectorAsColour@CShaderRenderManager@@AAEXABVCRGBColour@@PAM@Z	?SetVSVectorAsColour@CShaderRenderManager@@AAEXABVCRGBColour@@PAM@Z	0.8972829403215105	32.25365012031314	true
c03de0	_z_compress2	_z_compress2	1.0	43.42419730843434	true
c03b80	_z_inflateCopy	_z_inflateCopy	1.0000000000000002	182.5584795314095	true
c0a9a0	??1CJoystick@@UAE@XZ	??1CJoystick@@UAE@XZ	0.7017124551598513	12.273786611016874	true
c165a0	?Clone@CIsVariableFalse@NScript@@UBEPAVCPredicateBase@2@XZ	?Clone@CIsVariableFalse@NScript@@UBEPAVCPredicateBase@2@XZ	0.7253288246698024	17.808908094419728	true
c1bd80	NCreatureAI::`dynamic_initializer_for_'COS_OF_THE_ANGLE_NEEDED_TO_FACE_GUARD''	NCreatureAI::`dynamic_initializer_for_'COS_OF_THE_ANGLE_NEEDED_TO_FACE_GUARD''	1.0	12.691421207911914	true
c1bd40	?GetHeight@CHeightMapCell@@QBEMXZ	?GetHeight@CHeightMapCell@@QBEMXZ	0.9999999999999998	11.011379936306977	true
c1ea30	?IncrementLifetimer@CParticle@NParticleEngine@@QAEXXZ	?IncrementLifetimer@CParticle@NParticleEngine@@QAEXXZ	0.9566006958711305	11.904882094736443	true
c1ea40	?IncrementLifetimer@CParticle@NParticleEngine@@QAEXXZ	?IncrementLifetimer@CParticle@NParticleEngine@@QAEXXZ	0.9566006958711305	11.904882094736443	true
c279e0	?AddGossip@CGameScriptInterface@@UAEXVCCharString@@@Z	?AddGossip@CGameScriptInterface@@UAEXVCCharString@@@Z	0.7078967653202063	8.722338485131754	true
c28a80	?InternalAllocateHandle@CHandleBasedMemoryPool@@AAEJXZ	?InternalAllocateHandle@CHandleBasedMemoryPool@@AAEJXZ	0.7319748794568552	24.05690011794944	true
c2c7b0	?AddClothing@CTCInventoryClothing@@QAEXJ@Z	?AddClothing@CTCInventoryClothing@@QAEXJ@Z	0.8043379507066797	11.186622982658182	true
c2d920	?Copy@CTCInventory@@UAEXABVCTCBase@@@Z	?Copy@CTCInventory@@UAEXABVCTCBase@@@Z	0.8065066438351444	8.078240938409504	true
c31960	?IsInitialised@CGraphicFrame@@QBE_NXZ	?IsInitialised@CGraphicFrame@@QBE_NXZ	0.9999999999999998	11.011379936306977	true
c38600	?SelectNextEntryByName@CGuiControlTree@@QAE?AVCCharString@@AAV2@V2@@Z	?SelectNextEntryByName@CGuiControlTree@@QAE?AVCCharString@@AAV2@V2@@Z	0.7399833986089787	9.287075702475603	true
c3a720	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	0.7597576756914254	10.31462945603591	true
c3a780	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	0.7597576756914254	10.31462945603591	true
c3a700	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	0.7597576756914254	10.31462945603591	true
c3a740	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	0.7597576756914254	10.31462945603591	true
c3a760	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z	0.7597576756914254	10.31462945603591	true
c3aac0	?AddRootWindow@CGuiWindowManager@@IAEXAAVCGuiWindow@@@Z	?AddRootWindow@CGuiWindowManager@@IAEXAAVCGuiWindow@@@Z	0.7034043882648796	8.584920911790476	true
c3ff70	?GFFloatToLongFloor@@YIJM@Z	?GFFloatToLongFloor@@YIJM@Z	0.7322648426736973	15.824996186709953	true
c46f20	??XC2DVector@@QAEABV0@M@Z	??XC2DVector@@QAEABV0@M@Z	0.8681741164037536	15.729766298846783	true
c4c000	?GetChar@?$CBasicString@D@@QBEABDK@Z	?GetChar@?$CBasicString@D@@QBEABDK@Z	0.9999999999999998	11.011379936306977	true
c62150	?GetWorld@CTools@NCameraModes@@ABEABVCWorld@@XZ	?GetWorld@CTools@NCameraModes@@ABEABVCWorld@@XZ	0.7148370722052212	5.85178520539317	true
c6b240	?FtoL@@YAJM@Z	?FtoL@@YAJM@Z	1.0	11.680336095767775	true
c89be0	?FtoL@@YAJM@Z	?FtoL@@YAJM@Z	1.0	11.680336095767775	true
c8ccf0	?ConsoleDisplayCSTimecode@@YIXABV?$vector@VCGenericVar@@V?$allocator@VCGenericVar@@@std@@@std@@@Z	?ConsoleDisplayCSTimecode@@YIXABV?$vector@VCGenericVar@@V?$allocator@VCGenericVar@@@std@@@std@@@Z	0.7482225254202385	9.72922547311558	true
ca3b10	?FtoL@@YAJM@Z	?FtoL@@YAJM@Z	1.0	11.680336095767775	true
cd2290	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	0.7672992405230031	10.524224566982289	true
cd1fb1	??A?$CSmallVector@PBVCANavQuadTreeNode@@$07@@QAEAAPBVCANavQuadTreeNode@@K@Z	??A?$CSmallVector@PBVCANavQuadTreeNode@@$07@@QAEAAPBVCANavQuadTreeNode@@K@Z	1.0	12.200906554696804	true
cd2410	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	0.7672992405230031	10.524224566982289	true
cd2247	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	0.7672992405230031	10.524224566982289	true
f3a270	?CalcMemoryNeededBitCompressed@CRangeCompressor@@AAEJABV?$CArray@K@@@Z	?CalcMemoryNeededBitCompressed@CRangeCompressor@@AAEJABV?$CArray@K@@@Z	0.9478615996853309	61.62468104598512	true
1228b70	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	0.8679012004643393	28.60530637793774	true
1229030	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	0.8679012004643393	28.60530637793774	true
1229060	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	0.8679012004643393	28.60530637793774	true
1229340	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	0.8679012004643393	28.60530637793774	true
122ac70	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122acb0	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122a9a0	?Destroy@CMemoryAllocator@@KIXXZ	?Destroy@CMemoryAllocator@@KIXXZ	0.8456838724032659	21.697401949296534	true
122ab50	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122ad00	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122ab30	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122ab10	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122ad20	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122ac90	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122ad40	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	?ClearCachedDefs@CTCInventoryItem@@SIXXZ	1.0000000000000002	12.877628309265308	true
122ae7e	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	`anonymous_namespace'::`dynamic_atexit_destructor_for_'DEFAULT_CAMERA_MODE_DEF''	0.9801295587798781	32.68013848540318	true
