address	category	current	proposed
00956990	agree	?Clone@CCombatAction_WillShieldInto@@EBEPAVCCreatureActionBase@@XZ	?Clone@CCombatAction_WillShieldInto@@EBEPAVCCreatureActionBase@@XZ
009569e0	agree	?Clone@CCombatAction_WillEnflameInto@@EBEPAVCCreatureActionBase@@XZ	?Clone@CCombatAction_WillEnflameInto@@EBEPAVCCreatureActionBase@@XZ
00956a20	agree	?Clone@CCombatAction_WillHealInto@@EBEPAVCCreatureActionBase@@XZ	?Clone@CCombatAction_WillHealInto@@EBEPAVCCreatureActionBase@@XZ
00956a60	agree	?Initialise@CAIStateGroup_BriarRose@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroup_BriarRose@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
00956b00	disagree	IsRunnable	?IsRunnable@CAIStateGroup_BriarRose@@MAE_NXZ
00956c00	agree	?OnActivate@CAIStateGroup_BriarRose@@UAEXXZ	?OnActivate@CAIStateGroup_BriarRose@@UAEXXZ
00956c70	agree	?Cleanup@CAIStateGroup_BriarRose@@UAEXXZ	?Cleanup@CAIStateGroup_BriarRose@@UAEXXZ
00956ce0	agree	?IsRunnable@CAIStateGroup_BriarRoseWillUse@@UAE_NXZ	?IsRunnable@CAIStateGroup_BriarRoseWillUse@@UAE_NXZ
00956d90	agree	?OnActivate@CAIStateGroup_BriarRoseWillUse@@UAEXXZ	?OnActivate@CAIStateGroup_BriarRoseWillUse@@UAEXXZ
00956e00	agree	?Cleanup@CAIStateGroup_BriarRoseWillUse@@UAEXXZ	?Cleanup@CAIStateGroup_BriarRoseWillUse@@UAEXXZ
00956e70	agree	?Update@CAIStateGroup_BriarRose@@UAEXXZ	?Update@CAIStateGroup_BriarRose@@UAEXXZ
00956fe0	agree	?Update@CAIStateGroup_BriarRoseWillUse@@UAEXXZ	?Update@CAIStateGroup_BriarRoseWillUse@@UAEXXZ
009571f0	agree	?IsToFaceTarget@CCreatureAction_BriarRoseShotFarInto@@UBE_NXZ	?IsToFaceTarget@CCreatureAction_BriarRoseShotFarInto@@UBE_NXZ
00957270	agree	?IsToFaceTargetAtStart@CCreatureAction_BriarRoseIntoInvulnerable@@UBE_NXZ	?IsToFaceTargetAtStart@CCreatureAction_BriarRoseIntoInvulnerable@@UBE_NXZ
009573a0	agree	?Clone@CCreatureAction_BriarRoseShotFarInto@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_BriarRoseShotFarInto@@UBEPAVCCreatureActionBase@@XZ
009573d0	agree	?Clone@CCreatureAction_BriarRoseIntoInvulnerable@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_BriarRoseIntoInvulnerable@@UBEPAVCCreatureActionBase@@XZ
00957450	agree	?Clone@CCreatureAction_BriarRoseForcePush@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_BriarRoseForcePush@@UBEPAVCCreatureActionBase@@XZ
009574d0	agree	?Update@CAIStateGroup_MinionBehaviourGreetCreature@@UAEXXZ	?Update@CAIStateGroup_MinionBehaviourGreetCreature@@UAEXXZ
009575c0	agree	?IsRunnable@CAIStateGroup_MinionBehaviourGreetCreature@@UAE_NXZ	?IsRunnable@CAIStateGroup_MinionBehaviourGreetCreature@@UAE_NXZ
