207	008977f0	?ApplyHeroPenaltyForDeath@CGameScriptInterface@@UBEXXZ
208	0088e110	?GiveHeroTitle@CGameScriptInterface@@UBEXABVCCharString@@@Z
209	00897880	?GetHeroTitle@CGameScriptInterface@@UBE?AW4EHeroTitle@@XZ
210	00894dd0	?EntitySetAsMarryable@CGameScriptInterface@@UBEXABVCScriptThing@@_N@Z
211	008978e0	?EntitySetAsAbleToRegionFollowWhenMarried@CGameScriptInterface@@UBEXABVCScriptThing@@_N@Z
212	00897940	?EntityForceMarriageToHero@CGameScriptInterface@@UBEXABVCScriptThing@@_N@Z
213	008979c0	?IsEntityMarriedToHero@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
214	00897a30	?IsEntityMarriable@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
215	00897aa0	?GetHeroHasMarried@CGameScriptInterface@@UBE_NXZ
216	00897b10	?GetHeroHasCurrentMarriage@CGameScriptInterface@@UBE_NXZ
217	00897b70	?GetHeroHasDivorcedMarriage@CGameScriptInterface@@UBE_NXZ
218	00897bd0	?GetHeroHasChildren@CGameScriptInterface@@UBE_NXZ
219	00897c30	?GetHeroHasMurderedWife@CGameScriptInterface@@UBE_NXZ
220	008902b0	?IsHeroChild@CGameScriptInterface@@UBE_NXZ
221	008a0820	?CancelHeroTeleportEffects@CGameScriptInterface@@UBEXXZ
222	00897c90	?GetNumberOfTimesHeroHasHadSex@CGameScriptInterface@@UBEJXZ
223	00897cf0	?SetNumberOfTimesHeroHasHadSex@CGameScriptInterface@@UBEXJ@Z
224	00897d50	?SetHeroAsHavingHadSex@CGameScriptInterface@@UBEX_N@Z
225	00897db0	?SetHeroAsHavingHadGaySex@CGameScriptInterface@@UBEX_N@Z
226	00898ac0	?GiveThingHeroRewardItem@CGameScriptInterface@@UBEXABVCScriptThing@@ABVCCharString@@1@Z
227	0088de10	?GiveThingItemInHand@CGameScriptInterface@@UBEXABVCScriptThing@@ABVCCharString@@_N@Z
228	00895190	?GiveThingItemInSlot@CGameScriptInterface@@UBEXABVCScriptThing@@ABVCCharString@@1@Z
229	0088fc60	?GiveHeroExpression@CGameScriptInterface@@UBEXABVCCharString@@J_N@Z
230	0088fc90	?HeroHasExpression@CGameScriptInterface@@UBE_NABVCCharString@@@Z
231	008953a0	?IsHeroPerformingExpression@CGameScriptInterface@@UBE_NABVCCharString@@@Z
232	00895430	?IsDPadButtonHeldForExpression@CGameScriptInterface@@UBE_NABVCCharString@@@Z
233	008954a0	?EntityFollowThing@CGameScriptInterface@@UBEXABVCScriptThing@@0M_N@Z
234	008a7980	?EntityStopFollowing@CGameScriptInterface@@UBEXABVCScriptThing@@@Z
235	008a80f0	?GetFollowingEntityList@CGameScriptInterface@@UBE_NABVCScriptThing@@AAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
236	008a8260	?GetHeroSummonedCreaturesList@CGameScriptInterface@@UBE_NAAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
237	008a8440	?GetPerceivingHeroEntityList@CGameScriptInterface@@UBE_NAAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
238	008955c0	?IsEntityFollowingHero@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
239	0088de90	?EntitySetAsAllowedToFollowHero@CGameScriptInterface@@UBEXABVCScriptThing@@_N@Z
240	0088ded0	?EntitySetAsAllowedToChangeRegionFollowingState@CGameScriptInterface@@UBEXABVCScriptThing@@_N@Z
