#target_addr	target_old	donor_name	similarity	significance	applied
8a5300	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	0.6962787210821394	73.61040072222472	true
8a60d0	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a5e10	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a7170	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a6570	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	0.6773250700480323	67.54007353176344	true
8a6840	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	0.6773250700480323	67.54007353176344	true
8a6bf0	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a6680	?GetAction@CGameScriptInterface@@UAE?AVCCharString@@VCScriptThing@@@Z	?GetAction@CGameScriptInterface@@UAE?AVCCharString@@VCScriptThing@@@Z	0.6975166614395716	61.66215052467983	true
8a6950	?GetAction@CGameScriptInterface@@UAE?AVCCharString@@VCScriptThing@@@Z	?GetAction@CGameScriptInterface@@UAE?AVCCharString@@VCScriptThing@@@Z	0.6975166614395716	61.66215052467983	true
8a7430	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a6eb0	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a76f0	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	0.6962787210821394	73.61040072222472	true
8ed010	?MovedInNotification@CTCBuyableHouse@@QAEXJ@Z	?MovedInNotification@CTCBuyableHouse@@QAEXJ@Z	0.5586372702200977	9.768219403268159	true
91d930	?IsInRangeOfHiddenPosition@CAIStateGroup_EnemyCreatureBase@@IBE_NAAVC3DVector@@_N@Z	?IsInRangeOfHiddenPosition@CAIStateGroup_EnemyCreatureBase@@IBE_NAAVC3DVector@@_N@Z	0.555436508471448	75.77851593624999	true
9277cb	??0?$_Tree@V?$_Tmap_traits@JVCCharString@@U?$less@J@std@@V?$allocator@U?$pair@$$CBJVCCharString@@@std@@@3@$0A@@std@@@std@@QAE@ABV01@@Z	??0?$_Tree@V?$_Tmap_traits@JVCCharString@@U?$less@J@std@@V?$allocator@U?$pair@$$CBJVCCharString@@@std@@@3@$0A@@std@@@std@@QAE@ABV01@@Z	0.5474412476280498	10.393360402919074	true
93db70	?GetProximityToBeConsideredNearToEnemyCreature@CAIStateGroup_MeleeCombatNearby2@@ABEMXZ	?GetProximityToBeConsideredNearToEnemyCreature@CAIStateGroup_MeleeCombatNearby2@@ABEMXZ	0.5910614638145207	23.55523412755135	true
94bf60	??$make_pair@$$CBVC3DVector@@H@std@@YI?AU?$pair@VC3DVector@@H@0@$$QBVC3DVector@@$$QAH@Z	??$make_pair@$$CBVC3DVector@@H@std@@YI?AU?$pair@VC3DVector@@H@0@$$QBVC3DVector@@$$QAH@Z	0.5047818445500407	7.008339321692942	true
99af70	std::_Iterator_base12::_Getcont	std::_Iterator_base12::_Getcont	0.5477089645933679	9.725648185227822	true
99af20	std::_Iterator_base12::_Getcont	std::_Iterator_base12::_Getcont	0.512412052289835	9.168182968010605	true
9a0550	??0?$CBasicString@D@@QAE@KD@Z	??0?$CBasicString@D@@QAE@KD@Z	0.545113196002589	12.738772914681435	true
9a0020	??$_Fill@PAUCDebugScriptElement@CEngineCamera@@U12@@std@@YIXPAUCDebugScriptElement@CEngineCamera@@0ABU12@@Z	??$_Fill@PAUCDebugScriptElement@CEngineCamera@@U12@@std@@YIXPAUCDebugScriptElement@CEngineCamera@@0ABU12@@Z	0.5483409578828313	18.270461251849103	true
9a07a0	??0CEngineInternalPrimitiveChanger@@QAE@XZ	??0CEngineInternalPrimitiveChanger@@QAE@XZ	0.5628755487971405	12.561912047458694	true
9a07f0	??0?$CBasicString@D@@QAE@PBDK@Z	??0?$CBasicString@D@@QAE@PBDK@Z	0.6075861907727022	13.506362552689392	true
9a14e0	?GetStringExtents@CStreamingFontBank@@UBE?AVC2DExtentsF@@PB_W_N@Z	?GetStringExtents@CStreamingFontBank@@UBE?AVC2DExtentsF@@PB_W_N@Z	0.6174206559420069	64.42171700729266	true
9ad390	?ActualToUniqueIndex@COptimisedPrimitive@QuadricOptimiserInternals@@ABEJK@Z	?ActualToUniqueIndex@COptimisedPrimitive@QuadricOptimiserInternals@@ABEJK@Z	0.6374376192629834	7.803036332657505	true
9c76d0	?DeallocateMemory@?$CArray@U?$pair@VCCharString@@VCSymbolInfo@CSymbolMap@@@std@@@@QAEXXZ	?DeallocateMemory@?$CArray@U?$pair@VCCharString@@VCSymbolInfo@CSymbolMap@@@std@@@@QAEXXZ	0.5088080065333245	17.446952701144014	true
9cfb70	?OnInitialActivate@CTCVillage@@UAEXXZ	?OnInitialActivate@CTCVillage@@UAEXXZ	0.5410208292145393	8.034605525877552	true
9e1280	?PrepareForRender@CShaderRenderManager@@QAEXK@Z	?PrepareForRender@CShaderRenderManager@@QAEXK@Z	0.5707013150613326	66.85144693199759	true
9e62e0	??$GFExplicitNew@VCAnimatedBlock@N3DPrimitive@@@@YIXPAVCAnimatedBlock@N3DPrimitive@@K@Z	??$GFExplicitNew@VCAnimatedBlock@N3DPrimitive@@@@YIXPAVCAnimatedBlock@N3DPrimitive@@K@Z	0.5337177376811723	17.906405776825572	true
9f28d0	?InitDebugInfo@CMemoryAllocator@@IAEXPAX_NJ@Z	?InitDebugInfo@CMemoryAllocator@@IAEXPAX_NJ@Z	0.661942258189787	24.9849349379673	true
9f1810	?CompressIntoBuffer@CGameEvent@@QBEJPAE@Z	?CompressIntoBuffer@CGameEvent@@QBEJPAE@Z	0.5138715879338721	20.472802820715856	true
9f1870	?InitFromCompressedBuffer@CGameEvent@@QAEJPBE@Z	?InitFromCompressedBuffer@CGameEvent@@QAEJPBE@Z	0.5067122871026065	25.006393336388914	true
9f7330	?FinishWithDynamicTextures@CEngineScreenEffectOutlineGlow@@AAEXXZ	?FinishWithDynamicTextures@CEngineScreenEffectOutlineGlow@@AAEXXZ	0.5871331824267586	13.65048035337216	true
9f7d10	??4CKinematic@@QAEABV0@ABV0@@Z	??4CKinematic@@QAEABV0@ABV0@@Z	0.500671374417771	3.8028586058658966	true
9f8690	??0CTextContainer@NUISystem@@QAE@ABV01@@Z	??0CTextContainer@NUISystem@@QAE@ABV01@@Z	0.5053976663219188	8.065709497106727	true
9f9b30	?FrameUpdate@CNavigatorQueueManager@@QAEXXZ	?FrameUpdate@CNavigatorQueueManager@@QAEXXZ	0.5938728608104255	16.80160956613621	true
9feb80	?Close@CGraphicDataBank@@UAEXXZ	?Close@CGraphicDataBank@@UAEXXZ	0.5408796762453315	9.542639248028586	true
9fdba0	?ModifyHeroStats@CKilledThing@NHeroStatModifierEvent@@UBEXAAVCTCHeroStats@@@Z	?ModifyHeroStats@CKilledThing@NHeroStatModifierEvent@@UBEXAAVCTCHeroStats@@@Z	0.5058072066416505	10.417799970479187	true
a03040	?InternalAllocateHandle@CHandleBasedMemoryPool@@AAEJXZ	?InternalAllocateHandle@CHandleBasedMemoryPool@@AAEJXZ	0.6565835742556724	21.631209169736923	true
a14440	?GetScaled@C3DVector@@QBE?BV1@ABV1@@Z	?GetScaled@C3DVector@@QBE?BV1@ABV1@@Z	0.5144966918244314	10.525010144581062	true
a13eb0	?GetRandomUnitVector@C2DVector@@SI?AV1@PAK@Z	?GetRandomUnitVector@C2DVector@@SI?AV1@PAK@Z	0.6373091697823431	38.5717611951526	true
a14480	?GetScaled@C3DVector@@QBE?BV1@ABV1@@Z	?GetScaled@C3DVector@@QBE?BV1@ABV1@@Z	0.5144966918244314	10.525010144581062	true
a145c0	?GetRandomUnitVector@C2DVector@@SI?AV1@PAK@Z	?GetRandomUnitVector@C2DVector@@SI?AV1@PAK@Z	0.5115014860971763	30.829870340376438	true
a14510	?Dot@C2DVector@@QBEMABV1@@Z	?Dot@C2DVector@@QBEMABV1@@Z	0.6053605274416374	11.49771614050293	true
a15670	??0CNavigatorManager@@QAE@KPAKABVCNavigatorManagerExternalInterface@@@Z	??0CNavigatorManager@@QAE@KPAKABVCNavigatorManagerExternalInterface@@@Z	0.5324224023435906	15.939047997810157	true
a2e860	?LoadBinary@C3DMeshVolume@@QAE_NAAVCMemoryDataInputStream@@PAVCMovableResourceMemoryPool@@@Z	?LoadBinary@C3DMeshVolume@@QAE_NAAVCMemoryDataInputStream@@PAVCMovableResourceMemoryPool@@@Z	0.5040561024452446	17.115735870833696	true
