# class(module)	fnCount
CMemoryAreaChunk	14
CTheRealGuildmaster	14
CQ_NewOakValeIntroScript	14
CQ_WizardBattleScript	14
CV_HeroDuelScript	14
CDiskFileWin32	13
CGenericVar	13
CSprite	13
CTCHero	13
CTCDExperienceOrb	13
CTCFlammable	13
CTCMeleeTrap	13
CTCAIScratchpad	13
CTCOracleMinigame	13
CTCFireheartMinigame	13
CTCStockItem	13
CTCAISummon	13
CTCNymph	13
CDynamicList	13
CTextSlider	13
CAnimationEntry	13
CCachedFile	13
CDrawAbilityButtons	13
CPhysicalPrimitiveCylinder	13
CModeStrafe	13
CRandomAppearanceMorph	13
CAIStateGroup_BanditSitRoundCampfire	13
CAIStateGroup_SitForMeal	13
CAIStateGroup_MeleeCombatNearby	13
CAIStateGroup_ScorpionKing	13
CEngineInternalAttachedPrimitive	13
CEngineSubPrimitiveRenderer	13
CEngineInternalPrimitiveStaticMesh	13
CEngineInternalPrimitiveParticleGroup	13
CEngineMapDependencyChecker	13
CParticleEmitterDatabase	13
CPSCOrbit	13
CPSCSpline	13
CGraphicInfoFrame	13
CParticleScriptParser	13
CSpeechAnalyser	13
CQ_ArenaScript	13
CEditComponent	12
CTCExplodingObject	12
CTCHeroCentre	12
CTCTurncoatSpell	12
CTCHeroReceiveItems	12
CTCBoastUI	12
CTCTargetingAI	12
CTCDPhysicalObstruction	12
CModeBase	12
CEngineManager	12
CFrontEndButton	12
CScrollBar	12
CMinimapData	12
CDrawQuickAccessIcons	12
CPhysicalPrimitiveSphere	12
CStringAndCageBase	12
CPSCAttractor	12
NCombatActionHelpers	12
CAIStateGroup_GoToBed	12
CAIStateGroup_MinionReactToPlayerInteraction	12
CAIStateGroup_WorkAtSchool	12
CAIStateGroup_Guildmaster	12
CWindowCreator	12
CEngineProfileLog	12
CEngineInternalPrimitive2DStaticMesh	12
CEngineInternalPrimitiveGroup	12
CEnginePrimitiveManagerAnimatedMeshesBase	12
CObjectTypeCollection	12
CWaterPatchMesh	12
CThreadedFile	12
CJoystick	12
CCodeSectionManager	12
CFrameData	12
CClassFactory	12
CNavigatorFlyer	12
CGuiControlSliderBar	12
CNavSwitchableLeafNode	12
CShaderResource	12
CSimpleMemoryPool	12
CQ_BanditCampBossBattleScript	12
CQ_HobbeCaveScript	12
CQ_OrchardFarmRaidScript	12
CQ_SecretPassageScript	12
CQ_WaspBossScript	12
CV_BodyGuardScript	12
CV_KnotholeGladeGatesScript	12
CV_RandomPopulationSimScript	12
CBulletTimeManager	11
CObservable	11
CTCFadeOutAndIn	11
CTCInventoryMagic	11
CTCMeshAutomaticEntityCreator	11
CTCHeroCentreDoorMarker	11
CTCBoastingArea	11
CTCRegionFollower	11
CTCFishing	11
