address	name	named	size	thunk	ok	error
00407fd0	GetAutoSaveCheckPointPathName	1	102	0	1	
00408040	GetAutoSaveCheckPointPathName	1	102	0	1	
004080b0	GetAutoSaveCheckPointPathName	1	102	0	1	
00408120	GetPathNameFromFileName	1	428	0	1	
004082d0	GetDefaultVal<CSpecialEffectsStringMap>	1	110	0	1	
00408340	SetSoundAsMuted	1	20	0	1	
00408360	ForceClose	1	71	0	1	
004083b0	SetDefaultValuesGameplay	1	34	0	1	
004083e0	GetIconsDef	1	194	0	1	
004084b0	GetMaxMeshDetail	1	67	0	1	
00408500	GetMaxMeshDetail	1	67	0	1	
00408550	GetMaxMeshDetail	1	67	0	1	
004085a0	GetMaxMeshDetail	1	67	0	1	
004085f0	ResetAssignedInputs	1	557	0	1	
00408820	ResetAssignedInputsWASD	1	185	0	1	
004088e0	GetAssignedInputsPassive	1	23	0	1	
00408900	GetMaxResolution	1	143	0	1	
00408990	~LTextSymbol	1	215	0	1	
00408a70	SetAllTutorialsAsGiven	1	538	0	1	
00408c90	GetAssignedInputForAction	1	253	0	1	
00408d90	GetAssignedInputForMovementAction	1	441	0	1	
00408f50	GetAssignedInputForContextSensitiveItemAction	1	312	0	1	
00409090	FUN_00409090	0	171	0	1	
00409140	ClampAntialiasing	1	123	0	1	
004091c0	FUN_004091c0	0	534	0	1	
004093e0	SetDefaultValuesVideo	1	841	0	1	
00409730	VerifySignature	1	1078	0	1	
00409b70	SetDefaultValuesForNewProfile	1	1093	0	1	
00409fd0	SaveGameState	1	1892	0	1	
0040a740	Save	1	175	0	1	
0040a7f0	ApplyVideoValues	1	1941	0	1	
0040af90	SetCameraResetting	1	49	0	1	
0040afd0	SetCameraResetting	1	49	0	1	
0040b010	SetCameraResetting	1	49	0	1	
0040b050	SetCameraResetting	1	49	0	1	
0040b090	SetCameraResetting	1	49	0	1	
0040b0d0	SetCameraResetting	1	49	0	1	
0040b110	SetCameraResetting	1	49	0	1	
0040b150	SetCameraResetting	1	49	0	1	
0040b190	SetCameraResetting	1	49	0	1	
0040b1d0	SetCameraResetting	1	49	0	1	
0040b210	SetCameraResetting	1	49	0	1	
0040b250	SetCameraResetting	1	49	0	1	
0040b290	SetCameraResetting	1	49	0	1	
0040b2d0	SetAntialiasing	1	53	0	1	
0040b310	SetAntialiasing	1	53	0	1	
0040b350	SetAntialiasing	1	53	0	1	
0040b390	SetAntialiasing	1	53	0	1	
