00453f3f	?Copy@CCombatAbilityGetHitCounterAttackDef@@UAEXPBVCDefClassBase@@@Z
00453f5e	?Copy@CCombatAbilityStrafeDef@@UAEXPBVCDefClassBase@@@Z
00453f8e	?Copy@CCombatAbilityUseProjectileWeaponDef@@UAEXPBVCDefClassBase@@@Z
00453fc4	?Copy@CDragonActionSwoopDef@@UAEXPBVCDefClassBase@@@Z
00454038	?Copy@CDragonActionNapalmDef@@UAEXPBVCDefClassBase@@@Z
0045406a	?Copy@CDragonActionHoverDef@@UAEXPBVCDefClassBase@@@Z
00454083	?Copy@CAugmentationDef@@UAEXPBVCDefClassBase@@@Z
004540d3	?Copy@CAbilityDef@@UAEXPBVCDefClassBase@@@Z
004540ec	?Copy@CJackDragonDef@@UAEXPBVCDefClassBase@@@Z
0045417e	?Copy@CBriarRoseDef@@UAEXPBVCDefClassBase@@@Z
004541da	?Copy@CSnowTrollDef@@UAEXPBVCDefClassBase@@@Z
00454248	?Copy@CGuildMasterDef@@UAEXPBVCDefClassBase@@@Z
00454267	?Copy@CSummonerDef@@UAEXPBVCDefClassBase@@@Z
004542cf	?Copy@CExplosiveTrailDef@@UAEXPBVCDefClassBase@@@Z
0045442f	?Copy@CDegradableDef@@UAEXPBVCDefClassBase@@@Z
00454643	?GetSizeofClass@CSpecialEffectsDef@@UAEKXZ
00454690	?GetSizeofClass@CTextureReplacementDef@@UAEKXZ
004546d5	?GetSizeofClass@CAppearanceModifierDef@@UAEKXZ
0045473a	?Copy@CVillagePeopleDef@@UAEXPBVCDefClassBase@@@Z
00454993	?Copy@CHitLocationsDef@@UAEXPBVCDefClassBase@@@Z
00454ab2	?Copy@CCombatAbilityBlockCounterAttackDef@@UAEXPBVCDefClassBase@@@Z
00454b88	?GetSizeofClass@CThingBuildingDef@@UAEKXZ
00454b8e	?Transfer@CThingBuildingDef@@UAEXAAVCPersistContext@@@Z
00454dc5	?GetSizeofClass@CThingHolySiteDef@@UAEKXZ
00454dcb	?Transfer@CThingHolySiteDef@@UAEXAAVCPersistContext@@@Z
00454e1b	?GetSizeofClass@CThingMarkerDef@@UAEKXZ
00454e21	?Transfer@CThingMarkerDef@@UAEXAAVCPersistContext@@@Z
00454f11	?GetSizeofClass@CThingSwitchDef@@UAEKXZ
00454f15	?Transfer@CThingSwitchDef@@UAEXAAVCPersistContext@@@Z
00454f59	?GetSizeofClass@CThingVillageDef@@UAEKXZ
00454f5f	?Transfer@CThingVillageDef@@UAEXAAVCPersistContext@@@Z
00454fbd	?GetSizeofClass@CThingPhysicalSwitchDef@@UAEKXZ
00454fc3	?Transfer@CThingPhysicalSwitchDef@@UAEXAAVCPersistContext@@@Z
004554a4	?GetSizeofClass@CInventoryDef@@UAEKXZ
00455584	?GetSizeofClass@CInventoryCategoryDef@@UAEKXZ
00455588	?Transfer@CInventoryCategoryDef@@UAEXAAVCPersistContext@@@Z
004556ca	?GetSizeofClass@CMessageEventDef@@UAEKXZ
004556ce	?Transfer@CMessageEventDef@@UAEXAAVCPersistContext@@@Z
00455893	?GetSizeofClass@CSkyDef@@UAEKXZ
004558d9	?GetSizeofClass@CEnvironmentDef@@UAEKXZ
004558df	?Transfer@CEnvironmentDef@@UAEXAAVCPersistContext@@@Z
00455c60	?GetSizeofClass@CEnvironmentThemeDaySetDef@@UAEKXZ
00455ca7	?GetSizeofClass@CEngineLocalDetailGeneratorDef@@UAEKXZ
00455d22	?GetSizeofClass@CMaterialDef@@UAEKXZ
00455ddd	?GetSizeofClass@CCombatTypeDef@@UAEKXZ
00455e8c	?GetSizeofClass@CSimVoicesDef@@UAEKXZ
00455ec6	?GetSizeofClass@CSoundThemeDef@@UAEKXZ
00455f14	?GetSizeofClass@CThingNoiseDef@@UAEKXZ
00455f1a	?Transfer@CThingNoiseDef@@UAEXAAVCPersistContext@@@Z
00455ff0	?GetSizeofClass@CCreatureGenerationFamilyDef@@UAEKXZ
00456087	?GetSizeofClass@CHeroAbilityDef@@UAEKXZ
0045617c	?GetSizeofClass@CHeroStatsDef@@UAEKXZ
00456244	?Copy@CTextureReplacementDef@@UAEXPBVCDefClassBase@@@Z
004564b1	?GetSizeofClass@CEntitySoundDef@@UAEKXZ
004564e5	?GetSizeofClass@CRegionDef@@UAEKXZ
00456511	?GetSizeofClass@CFactionDef@@UAEKXZ
0045655e	?GetSizeofClass@CCameraModeDef@@UAEKXZ
00456564	?Transfer@CCameraModeDef@@UAEXAAVCPersistContext@@@Z
004567bb	?GetSizeofClass@CCameraManagerDef@@UAEKXZ
00456814	?GetSizeofClass@CCameraManagerSetDef@@UAEKXZ
00456818	?Transfer@CCameraManagerSetDef@@UAEXAAVCPersistContext@@@Z
0045687f	?GetSizeofClass@CHeroPostcardGeneratorDef@@UAEKXZ
00456883	?Transfer@CHeroPostcardGeneratorDef@@UAEXAAVCPersistContext@@@Z
004569a1	?GetSizeofClass@CExpressionDef@@UAEKXZ
004569a7	?Transfer@CExpressionDef@@UAEXAAVCPersistContext@@@Z
00456cfb	?GetSizeofClass@COpinionReactionMaskDef@@UAEKXZ
00456d3f	?GetSizeofClass@COpinionDeedMaskDef@@UAEKXZ
00456d9e	?GetSizeofClass@COpinionDeedEffectsDef@@UAEKXZ
00456df5	?GetSizeofClass@CCombatDialogueDef@@UAEKXZ
00456dfb	?Transfer@CCombatDialogueDef@@UAEXAAVCPersistContext@@@Z
00456f23	?GetSizeofClass@CVillagerInteractionsDef@@UAEKXZ
00456f27	?Transfer@CVillagerInteractionsDef@@UAEXAAVCPersistContext@@@Z
00456fb8	?GetSizeofClass@COpinionPersonalityDef@@UAEKXZ
00457028	?GetSizeofClass@COpinionSourceDef@@UAEKXZ
00457095	?GetSizeofClass@CSpecialAbilitiesAssassinRushDef@@UAEKXZ
00457110	?GetSizeofClass@CSpecialAbilitiesBattleChargeDef@@UAEKXZ
004571e8	?GetSizeofClass@CSpecialAbilitiesMultiStrikeDef@@UAEKXZ
00457285	?GetSizeofClass@CSpecialAbilitiesMultiArrowDef@@UAEKXZ
004573db	?GetSizeofClass@CSpecialAbilitiesBerserkDef@@UAEKXZ
004575da	?GetSizeofClass@CSpecialAbilitiesBulletTimeDef@@UAEKXZ
004576b9	?GetSizeofClass@CSpecialAbilitiesForcePushDef@@UAEKXZ
00457738	?GetSizeofClass@CSpecialAbilitiesEnflameDef@@UAEKXZ
00457829	?GetSizeofClass@CSpecialAbilitiesPhysicalShieldDef@@UAEKXZ
00457916	?GetSizeofClass@CSpecialAbilitiesDrainLifeDef@@UAEKXZ
004579a2	?GetSizeofClass@CSpecialAbilitiesHealLifeDef@@UAEKXZ
00457a09	?GetSizeofClass@CSpecialAbilitiesGhostSwordDef@@UAEKXZ
00457a0d	?Transfer@CSpecialAbilitiesGhostSwordDef@@UAEXAAVCPersistContext@@@Z
00457ac4	?GetSizeofClass@CSpecialAbilitiesTurncoatSpellDef@@UAEKXZ
00457b52	?GetSizeofClass@CSpecialAbilitiesFireballSpellDef@@UAEKXZ
00457c7e	?GetSizeofClass@CSpecialAbilitiesLightningSpellDef@@UAEKXZ
00457de3	?GetSizeofClass@CSpecialAbilitiesSummonSpellDef@@UAEKXZ
00457e57	?GetSizeofClass@CSpecialAbilitiesBurntEffectDef@@UAEKXZ
00457eb6	?GetSizeofClass@CSpecialAbilitiesElectrocutedEffectDef@@UAEKXZ
00457f0f	?GetSizeofClass@CSpecialAbilitiesDrunkennessDef@@UAEKXZ
00457f13	?Transfer@CSpecialAbilitiesDrunkennessDef@@UAEXAAVCPersistContext@@@Z
00457f8d	?GetSizeofClass@CSpecialAbilitiesThunderLightningStormDef@@UAEKXZ
00457f91	?Transfer@CSpecialAbilitiesThunderLightningStormDef@@UAEXAAVCPersistContext@@@Z
004580ef	?GetSizeofClass@CSpecialAbilitiesDivineWrathDef@@UAEKXZ
004582b4	?GetSizeofClass@CSpecialAbilitiesUnholyPowerDef@@UAEKXZ
004583da	?GetSizeofClass@CSpecialAbilitiesCreatureTintDef@@UAEKXZ
00458454	?GetSizeofClass@CSoundDef@@UAEKXZ
004584e4	?GetSizeofClass@CAttackPatternDef@@UAEKXZ
0045853a	?GetSizeofClass@CObjectFamilyDef@@UAEKXZ
0045859d	?GetSizeofClass@CArmourDef@@UAEKXZ
004585fa	?GetSizeofClass@CHitLocationDef@@UAEKXZ
004585fe	?Transfer@CHitLocationDef@@UAEXAAVCPersistContext@@@Z
004588c2	?GetSizeofClass@CCombatSequenceDef@@UAEKXZ
0045890d	?GetSizeofClass@CLightningDef@@UAEKXZ
00458911	?Transfer@CLightningDef@@UAEXAAVCPersistContext@@@Z
00458a2d	?GetSizeofClass@CGlobalDef@@UAEKXZ
00458b7b	?GetSizeofClass@CHeroCombatDef@@UAEKXZ
00458c46	?GetSizeofClass@CMeleeCombatAbilityDef@@UAEKXZ
00458c99	?GetSizeofClass@CMeleeCombatKnockdownEffects@@UAEKXZ
00458c9d	?Transfer@CMeleeCombatKnockdownEffects@@UAEXAAVCPersistContext@@@Z
00458d69	?GetSizeofClass@CThingShotDef@@UAEKXZ
00458d6f	?Transfer@CThingShotDef@@UAEXAAVCPersistContext@@@Z
00459129	?GetSizeofClass@CThingObjectDef@@UAEKXZ
0045912f	?Transfer@CThingObjectDef@@UAEXAAVCPersistContext@@@Z
0045934f	?GetSizeofClass@CCreatureAbilityDef@@UAEKXZ
00459353	?Transfer@CCreatureAbilityDef@@UAEXAAVCPersistContext@@@Z
00459549	?GetSizeofClass@CThingGroupDef@@UAEKXZ
0045954d	?Transfer@CThingGroupDef@@UAEXAAVCPersistContext@@@Z
0045957e	?GetSizeofClass@CPlayerDef@@UAEKXZ
00459582	?Transfer@CPlayerDef@@UAEXAAVCPersistContext@@@Z
00459611	?GetSizeofClass@CPlayerMovementDef@@UAEKXZ
00459615	?Transfer@CPlayerMovementDef@@UAEXAAVCPersistContext@@@Z
00459700	?GetSizeofClass@CSimBuildingDef@@UAEKXZ
00459704	?Transfer@CSimBuildingDef@@UAEXAAVCPersistContext@@@Z
00459760	?GetSizeofClass@CEngineThemeGroupDef@@UAEKXZ
00459764	?Transfer@CEngineThemeGroupDef@@UAEXAAVCPersistContext@@@Z
00459795	?GetSizeofClass@CEngineThemeDef@@UAEKXZ
0045979b	?Transfer@CEngineThemeDef@@UAEXAAVCPersistContext@@@Z
00459a9e	?GetSizeofClass@CBrainDef@@UAEKXZ
00459b53	?GetSizeofClass@CPlayerInventoryDef@@UAEKXZ
00459e24	?GetSizeofClass@CPlayerGuiDef@@UAEKXZ
0045a154	?Copy@CInventoryDef@@UAEXPBVCDefClassBase@@@Z
0045bd3d	?Copy@CInventoryCategoryDef@@UAEXPBVCDefClassBase@@@Z
0045bdb1	?Copy@CMessageEventDef@@UAEXPBVCDefClassBase@@@Z
0045be26	?Copy@CEnvironmentDef@@UAEXPBVCDefClassBase@@@Z
0045c10d	?Copy@CMaterialDef@@UAEXPBVCDefClassBase@@@Z
0045c2e3	?Copy@CCombatTypeDef@@UAEXPBVCDefClassBase@@@Z
0045c549	?Copy@CSoundThemeDef@@UAEXPBVCDefClassBase@@@Z
0045c60f	?Copy@CCreatureGenerationFamilyDef@@UAEXPBVCDefClassBase@@@Z
0045c77f	?Copy@CSpecialEffectsDef@@UAEXPBVCDefClassBase@@@Z
0045c8c3	?Transfer@CSpecialEffectsDef@@UAEXAAVCPersistContext@@@Z
0045cb17	?Copy@CHeroAbilityDef@@UAEXPBVCDefClassBase@@@Z
