# revert map: restores default names if needed
009ab120	FUN_009ab120
009ab2f0	FUN_009ab2f0
009b5160	FUN_009b5160
009d40b0	FUN_009d40b0
009e5170	FUN_009e5170
009ef0d0	FUN_009ef0d0
009f0fa0	FUN_009f0fa0
009f67e0	FUN_009f67e0
00a0e2a0	FUN_00a0e2a0
00a21640	FUN_00a21640
00a2c4e0	FUN_00a2c4e0
00a2dc90	FUN_00a2dc90
00ad3440	FUN_00ad3440
00ad42c0	FUN_00ad42c0
00ad5240	FUN_00ad5240
00adb670	FUN_00adb670
00b96d70	FUN_00b96d70
00b96f00	FUN_00b96f00
00b983d0	FUN_00b983d0
00bd8a60	FUN_00bd8a60
00c3c930	FUN_00c3c930
00c74d30	FUN_00c74d30
00c8aa80	FUN_00c8aa80
00c8aaf0	FUN_00c8aaf0
00d39330	FUN_00d39330
00e68b20	FUN_00e68b20
00411b90	FUN_00411b90
004313e9	FUN_004313e9
00432b38	FUN_00432b38
0046230e	FUN_0046230e
0046496f	FUN_0046496f
004b4a10	FUN_004b4a10
004bcf50	FUN_004bcf50
004bd040	FUN_004bd040
004e6466	FUN_004e6466
004f9408	FUN_004f9408
00514400	FUN_00514400
00517ba0	FUN_00517ba0
0055b760	FUN_0055b760
00567980	FUN_00567980
00569a80	FUN_00569a80
0057955a	FUN_0057955a
00580d21	FUN_00580d21
005957d9	FUN_005957d9
005b1ac5	FUN_005b1ac5
005dcc00	FUN_005dcc00
005f8f89	FUN_005f8f89
00632d30	FUN_00632d30
00661540	FUN_00661540
0066b120	FUN_0066b120
00675230	FUN_00675230
00686f60	FUN_00686f60
006b5be0	FUN_006b5be0
006b9e00	FUN_006b9e00
006bd9b0	FUN_006bd9b0
006e9700	FUN_006e9700
007091a0	FUN_007091a0
00738eb0	FUN_00738eb0
0073dff0	FUN_0073dff0
007934f0	FUN_007934f0
007e46d0	FUN_007e46d0
00841fc0	FUN_00841fc0
00851bd0	FUN_00851bd0
0087c6b0	FUN_0087c6b0
009ef6e0	FUN_009ef6e0
009f0320	FUN_009f0320
009f6ac0	FUN_009f6ac0
00a77780	FUN_00a77780
00a827d0	FUN_00a827d0
00aa87e0	FUN_00aa87e0
00ad4620	FUN_00ad4620
00ae5d80	FUN_00ae5d80
00b059f0	FUN_00b059f0
00b2f060	FUN_00b2f060
00b97580	FUN_00b97580
00bec8d0	FUN_00bec8d0
00c0bda0	FUN_00c0bda0
00c23c10	FUN_00c23c10
00c4d070	FUN_00c4d070
00c6d410	FUN_00c6d410
00c6f1a0	FUN_00c6f1a0
00c8d9c0	FUN_00c8d9c0
00431606	FUN_00431606
00433df0	FUN_00433df0
0045baaa	FUN_0045baaa
00462e78	FUN_00462e78
0049b3b0	FUN_0049b3b0
0049b760	FUN_0049b760
004bc4f0	FUN_004bc4f0
004c10e0	FUN_004c10e0
004c5690	FUN_004c5690
004e539f	FUN_004e539f
00512630	FUN_00512630
00519970	FUN_00519970
005237f0	FUN_005237f0
0052d740	FUN_0052d740
0054a2a0	FUN_0054a2a0
00553690	FUN_00553690
0055f710	FUN_0055f710
00560bb0	FUN_00560bb0
00569e30	FUN_00569e30
005b2872	FUN_005b2872
005b3275	FUN_005b3275
005dc020	FUN_005dc020
0065431d	FUN_0065431d
0065c2d0	FUN_0065c2d0
00696b70	FUN_00696b70
006c59e0	FUN_006c59e0
007196d0	FUN_007196d0
007355f0	FUN_007355f0
007379d0	FUN_007379d0
0073e040	FUN_0073e040
0076a030	FUN_0076a030
007ae0e0	FUN_007ae0e0
00812790	FUN_00812790
00929fc0	FUN_00929fc0
009c05c0	FUN_009c05c0
009e1750	FUN_009e1750
009ec890	FUN_009ec890
00a55f90	FUN_00a55f90
