address	name	length	bytes
008b3da0	CCombatSequence_FodderSecondaryAttack::GetZone	6	b807000000c3
008b3e20	CCombatSequence_FodderCombatIdle::GetZone	6	b807000000c3
008b3ed0	CCombatSequence_ScorpionLungeAttack::GetZone	6	b801000000c3
008b3f80	CCombatSequence_KingScorpionTailPlunge::GetZone	6	b801000000c3
008b4010	CCombatSequence_TrollDoubleSwipe::GetZone	6	b804000000c3
008b4090	CCombatSequence_TrollDoubleSwipeNonMelee::GetZone	6	b804000000c3
008b4120	CCombatSequence_TrollOpeningGroundPound::GetZone	6	b802000000c3
008b41a0	CCombatSequence_TrollProjectileAttack::GetZone	6	b802000000c3
008b4220	CCombatSequence_TrollBurrowPursue::GetZone	6	b801000000c3
008b4290	CCombatSequence_TrollBurrowPursueNoZone::GetZone	6	b840000000c3
008b4300	CCombatSequence_TrollRockPursue::GetZone	6	b840000000c3
008b4370	CCombatSequence_TrollRockPursueNoZone::GetZone	6	b840000000c3
008b43f0	CCombatSequence_TrollRockAdvance::GetZone	6	b842000000c3
008b4460	CCombatSequence_TrollRockThrowRock::GetZone	6	b801000000c3
008b44f0	CCombatSequence_TrollRockIdle::GetZone	6	b801000000c3
008b4560	CCombatSequence_TrollRockShuffleBack::GetZone	6	b804000000c3
008b45d0	CCombatSequence_VillagerAttack::GetZone	6	b804000000c3
008b4650	CCombatSequence_VillagerBackOff::GetZone	6	b804000000c3
008b46c0	CCombatSequence_VillagerStepIn::GetZone	6	b802000000c3
008b4740	CCombatSequence_VillagerAdvance::GetZone	6	b801000000c3
008b47c0	CCombatSequence_VillagerCombo::GetZone	6	b802000000c3
008b4840	CCombatSequence_VillagerComboUnblockable::GetZone	6	b802000000c3
008b48c0	CCombatSequence_VillagerNearAttack::GetZone	6	b804000000c3
008b4940	CCombatSequenceWhisperLunge::GetZone	6	b801000000c3
008b49c0	CCombatSequenceWhisperAdvance::GetZone	6	b801000000c3
008b4a40	CCombatSequenceWhisperAttackCombo::GetZone	6	b802000000c3
008b4ac0	CCombatSequenceWhisperAttackBigCombo::GetZone	6	b802000000c3
008b4b40	CCombatSequenceWhisperAttack360::GetZone	6	b83a000000c3
008b4bc0	CCombatSequenceWhisperStrikeStrafeBack::GetZone	6	b804000000c3
008b4c40	CCombatSequenceWhisperTooCloseLeapBack::GetZone	6	b804000000c3
008b4cc0	CCombatSequenceWhisperBoast::GetZone	6	b803000000c3
008b4d40	CCombatSequenceWhisperSortYourselfOut::GetZone	6	b840000000c3
008b4db0	CCombatSequenceWhisperStrafeAround::GetZone	6	b803000000c3
008b4e30	CCombatSequenceWhisperIdles::GetZone	6	b801000000c3
008b4eb0	CCombatSequenceJacksCombo::GetZone	6	b802000000c3
008b4f30	CCombatSequence2StrikeCombo::GetZone	6	b802000000c3
008b4fb0	CCombatSequenceUnblockableFacing::GetZone	6	b802000000c3
008b5030	CCombatSequenceNonInterruptable2StrikeCombo::GetZone	6	b802000000c3
008b50c0	CCombatSequence_BattleCharge::GetZone	6	b801000000c3
008b5150	CCombatSequence_WillLightning::GetZone	6	b801000000c3
008b5200	CCombatSequence_WillEnflame::GetZone	6	b803000000c3
008b52c0	CCombatSequence_WillForcePush::GetZone	6	b803000000c3
008b5380	CCombatSequence_WillForcePushLongRange::GetZone	6	b801000000c3
008b5440	CCombatSequence_WillPhysicalShield::GetZone	6	b803000000c3
008b54f0	CCombatSequence_WillPhysicalShieldNonMelee::GetZone	6	b803000000c3
008b0660	CCombatSequenceGeneric::GetZone	7	8b41288b403cc3
008b0680	CCombatSequenceGeneric::GetCombatSequenceInterruptionType	7	8b41288b4044c3
008b8660	CCreatureAction_PlayCombatAnimation::IsToFaceTarget	7	8a8114010000c3
008b8670	CCreatureAction_PlayCombatAnimation::IsMovementUsingPhysics	7	8a8115010000c3
008b8680	CCreatureAction_PlayCombatAnimation::IsAlwaysUseAnimationMovement	7	8a8116010000c3
008bffb0	CCreatureAction_BodgeSideStrike::GetActionSpeedParameter	7	d905d8de2201c3
008c7ce0	CCreatureAction_TrollThrowProjectile::GetIsToFaceTargetCone	7	d905d8de2201c3
008ab960	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>	8	83c108e9c8f8ffff
008ab970	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>	8	83c108e938f9ffff
008ba7e0	CCreatureAction_RemovePhysicalShieldSpell::PerformAction	8	83c108e968731400
008c0620	CCreatureAction_WhisperSommersaultBackward::PerformAction	8	c6811401000001c3
00892d70	CGameScriptInterface::SetCreatureGeneratorsEnabledDuringScript	11	8b0dfc893b01e9950ac2ff
00892f00	CGameScriptInterface::DeactivateQuest	11	8b0dfc893b01e9c514c2ff
00892f10	CGameScriptInterface::DeactivateQuestLater	11	8b0dfc893b01e915dbc1ff
00892f20	CGameScriptInterface::PrepareQuestsWhenFinalQuestIsActivated	11	8b0dfc893b01e9e5dfc1ff
00892f30	CGameScriptInterface::PrepareQuestsWhenFinalQuestIsCompleted	11	8b0dfc893b01e935c3c1ff
00892f40	CGameScriptInterface::IsQuestActive	11	8b0dfc893b01e9c5c6c1ff
00892f50	CGameScriptInterface::IsQuestRegistered	11	8b0dfc893b01e965d1c1ff
00892f60	CGameScriptInterface::IsQuestCompleted	11	8b0dfc893b01e955e0c1ff
00892f70	CGameScriptInterface::IsQuestFailed	11	8b0dfc893b01e905c3c1ff
00893020	CGameScriptInterface::SetQuestAsPersistent	11	8b0dfc893b01e965f4c1ff
00893030	CGameScriptInterface::GetExclusiveQuestScriptName	11	8b0dfc893b01e905d5c1ff
008aa810	DeleteData	11	85c974068b016a01ff10c3
008922c0	?SetCutsceneActionMode@CGameScriptInterface@@UBEX_NABVCCharString@@@Z	14	8b0d90873b0183c118e90ce6bfff
008b86c0	CCreatureAction_LeapLong::IsToEvadeAllHits	14	8a911401000033c084d20f94c0c3
00891b40	CGameScriptInterface::AddQuestInfoCounter	16	a190873b018b88c8010000e9bfdedbff
00891b50	CGameScriptInterface::AddQuestInfoCounterList	16	a190873b018b88c8010000e917dfdbff
00891b60	CGameScriptInterface::AddQuestInfoTick	16	a190873b018b88c8010000e96fdfdbff
00891b70	CGameScriptInterface::AddQuestInfoTick	16	a190873b018b88c8010000e9c7dfdbff
00891ba0	CGameScriptInterface::ChangeQuestInfoBarColour	16	a190873b018b88c8010000e94832dbff
00891bd0	CGameScriptInterface::UpdateQuestInfoCounter	16	a190873b018b88c8010000e95c32dbff
00891be0	CGameScriptInterface::UpdateQuestInfoCounterList	16	a190873b018b88c8010000e99032dbff
008c52b0	?FinishAction@CCreatureAction_ScorpionSummon@@UAEXXZ	16	568bf1e818fdffff8bce5ee96047f9ff
00891b80	CGameScriptInterface::UpdateQuestInfoBar	17	8b0d90873b018b89c8010000e90032dbff
00891bb0	CGameScriptInterface::UpdateQuestInfoTimer	17	8b1590873b018b8ac8010000e9b823dbff
00891bf0	CGameScriptInterface::UpdateQuestInfoTick	17	8b1590873b018b8ac8010000e9c332dbff
00891c10	CGameScriptInterface::RemoveQuestInfoElement	17	8b0d90873b018b89c8010000e93657dbff
008b0690	CCombatSequenceGeneric::IsToPreferSequenceWhenValid	17	8b41288b484885c974048a4064c332c0c3
