address	current_name	reason	category
00674e80	Object_FreeInnerAndDelete_00674e80	ambiguous-or-no-donor-match	initializer-destructor
0067aeb0	StdList_InitEmpty_0067aeb0	ambiguous-or-no-donor-match	initializer-destructor
0067af60	Ptr_AllocStore_0067af60	ambiguous-or-no-donor-match	allocator-wrapper
0067afd0	Ptr_AllocStore_0067afd0	ambiguous-or-no-donor-match	allocator-wrapper
0067b040	Ptr_AllocStore_0067b040	ambiguous-or-no-donor-match	allocator-wrapper
0067b570	StdList_InitEmpty_0067b570	ambiguous-or-no-donor-match	initializer-destructor
0067b5f0	StdList_CtorWithCount_0067b5f0	ambiguous-or-no-donor-match	initializer-destructor
0067b680	StdList_CtorWithCount_0067b680	ambiguous-or-no-donor-match	initializer-destructor
0067b710	StdList_CtorWithCount_0067b710	ambiguous-or-no-donor-match	initializer-destructor
0067bc70	StdList_InitEmpty_0067bc70	ambiguous-or-no-donor-match	initializer-destructor
0067bd30	StdList_CtorWithCount_0067bd30	ambiguous-or-no-donor-match	initializer-destructor
0067bdc0	StdList_CtorWithCount_0067bdc0	ambiguous-or-no-donor-match	initializer-destructor
0067be50	StdList_CtorWithCount_0067be50	ambiguous-or-no-donor-match	initializer-destructor
00685ba0	StdList_InitEmpty_00685ba0	ambiguous-or-no-donor-match	initializer-destructor
006864c0	StdList_InitEmpty_006864c0	ambiguous-or-no-donor-match	initializer-destructor
00687480	StdList_InitEmpty_00687480	ambiguous-or-no-donor-match	initializer-destructor
00687910	StdList_InitEmpty_00687910	ambiguous-or-no-donor-match	initializer-destructor
006960a0	Ptr_AllocStore_006960a0	ambiguous-or-no-donor-match	allocator-wrapper
006960d0	Ptr_AllocStore_006960d0	ambiguous-or-no-donor-match	allocator-wrapper
00696590	StdList_CtorWithCount_00696590	ambiguous-or-no-donor-match	initializer-destructor
006965d0	StdList_CtorWithCount_006965d0	ambiguous-or-no-donor-match	initializer-destructor
00696de0	StdList_CtorWithCount_00696de0	ambiguous-or-no-donor-match	initializer-destructor
00696e70	StdList_CtorWithCount_00696e70	ambiguous-or-no-donor-match	initializer-destructor
006db170	StdList_InitEmpty_006db170	ambiguous-or-no-donor-match	initializer-destructor
006db230	StdList_CtorWithCount_006db230	ambiguous-or-no-donor-match	initializer-destructor
006db5a0	StdList_CtorWithCount_006db5a0	ambiguous-or-no-donor-match	initializer-destructor
006db730	StdList_CtorWithCount_006db730	ambiguous-or-no-donor-match	initializer-destructor
006db770	StdList_CtorWithCount_006db770	ambiguous-or-no-donor-match	initializer-destructor
006dbc00	StdList_CtorHeadAtField1_006dbc00	ambiguous-or-no-donor-match	initializer-destructor
006dbc50	StdList_CtorHeadAtField1_006dbc50	ambiguous-or-no-donor-match	initializer-destructor
006dbfe0	StdList_CtorWithCount_006dbfe0	ambiguous-or-no-donor-match	initializer-destructor
006dc1b0	StdList_CtorWithCount_006dc1b0	ambiguous-or-no-donor-match	initializer-destructor
006e4b30	StdList_InitEmpty_006e4b30	ambiguous-or-no-donor-match	initializer-destructor
006e4e10	StdList_InitEmpty_006e4e10	ambiguous-or-no-donor-match	initializer-destructor
006e6930	Ptr_AllocStore_006e6930	ambiguous-or-no-donor-match	allocator-wrapper
006e6ae0	StdList_CtorWithCount_006e6ae0	ambiguous-or-no-donor-match	initializer-destructor
006e7030	StdList_CtorWithCount_006e7030	ambiguous-or-no-donor-match	initializer-destructor
006f09b0	StdList_InitEmpty_006f09b0	ambiguous-or-no-donor-match	initializer-destructor
