vtable_base	offset	slot_address	target_address	name	mangled	manifest_name	forge_scope
01238c8c	0xb8	01238d44	004aadc0	MsgHitEnemyWithMeleeWeapon	?MsgHitEnemyWithMeleeWeapon@CScriptThing@@UBE_NXZ	CScriptThing::MsgHitEnemyWithMeleeWeapon	
01238c8c	0xbc	01238d48	004aade0	MsgHitFriendWithMeleeWeapon	?MsgHitFriendWithMeleeWeapon@CScriptThing@@UBE_NXZ	CScriptThing::MsgHitFriendWithMeleeWeapon	
01238c8c	0xc0	01238d4c	004aae00	MsgHitEnemyWithRangedWeapon	?MsgHitEnemyWithRangedWeapon@CScriptThing@@UBE_NXZ	CScriptThing::MsgHitEnemyWithRangedWeapon	
01238c8c	0xc4	01238d50	004aae20	MsgHitFriendWithRangedWeapon	?MsgHitFriendWithRangedWeapon@CScriptThing@@UBE_NXZ	CScriptThing::MsgHitFriendWithRangedWeapon	
01238c8c	0xc8	01238d54	004aae40	MsgHitEnemyWithBareHands	?MsgHitEnemyWithBareHands@CScriptThing@@UBE_NXZ	CScriptThing::MsgHitEnemyWithBareHands	
01238c8c	0xcc	01238d58	004aae60	MsgHitFriendWithBareHands	?MsgHitFriendWithBareHands@CScriptThing@@UBE_NXZ	CScriptThing::MsgHitFriendWithBareHands	
01238c8c	0xd0	01238d5c	004aae80	MsgAttackedWithMeleeWeaponWithoutHittingAnything	?MsgAttackedWithMeleeWeaponWithoutHittingAnything@CScriptThing@@UBE_NXZ	CScriptThing::MsgAttackedWithMeleeWeaponWithoutHittingAnything	
01238c8c	0xd4	01238d60	004aaea0	MsgAttackedWithBareHandsWithoutHittingAnything	?MsgAttackedWithBareHandsWithoutHittingAnything@CScriptThing@@UBE_NXZ	CScriptThing::MsgAttackedWithBareHandsWithoutHittingAnything	
01238c8c	0xd8	01238d64	004aaec0	MsgTalkedToAnyone	?MsgTalkedToAnyone@CScriptThing@@UBE_NXZ	CScriptThing::MsgTalkedToAnyone	
01238c8c	0xdc	01238d68	004aaee0	MsgGetThingsKilled	?MsgGetThingsKilled@CScriptThing@@UBE_NAAV?$vector@KV?$allocator@K@std@@@std@@@Z	CScriptThing::MsgGetThingsKilled	
